Time,ProxyName,TxnID,GTid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,uri
5/30/2018 1:08,GetInformationalMessageV001,1732161645,1732161645,0,1,0,1,1,0,0,4,4,4,4,4,0,4,1,1,/getinformationmessage
5/30/2018 1:08,TaxBreakoutServiceV001,1417716097,1417716097,0,1,0,0,1,0,0,70,70,70,70,71,0,70,0,1,/taxbreakout
5/30/2018 1:08,TaxBreakoutServiceV001,150782768,150782768,0,0,0,0,1,0,0,72,73,72,73,73,0,72,0,0,/taxbreakout
5/30/2018 1:09,TaxBreakoutServiceV001,1732199037,1732199037,0,1,0,0,1,0,0,52,53,52,53,53,0,53,0,1,/taxbreakout
5/30/2018 1:09,TaxBreakoutServiceV001,1823747335,1823747335,0,1,0,1,2,1,1,63,63,63,63,63,0,63,1,1,/taxbreakout
5/30/2018 1:11,TaxBreakoutServiceV001,1732558557,1732558557,0,1,0,1,1,0,0,49,49,49,49,49,0,49,1,1,/taxbreakout
5/30/2018 1:11,TaxBreakoutServiceV001,1732558573,1732558573,0,0,0,0,1,0,0,61,61,61,61,61,0,61,0,0,/taxbreakout
5/30/2018 1:13,TaxBreakoutServiceV001,1732817181,1732817181,0,1,0,0,1,0,0,61,61,61,61,61,0,61,0,1,/taxbreakout
5/30/2018 1:13,TaxBreakoutServiceV001,4236976815,4236976815,0,1,0,1,1,0,0,65,65,65,65,65,0,65,1,1,/taxbreakout
5/30/2018 1:15,TaxBreakoutServiceV001,1825095527,1825095527,0,1,0,0,1,0,0,52,53,52,53,53,0,52,0,1,/taxbreakout
5/30/2018 1:18,TaxBreakoutServiceV001,1733648493,1733648493,0,1,0,1,1,0,0,45,45,45,45,45,0,45,1,1,/taxbreakout
5/30/2018 1:18,TaxBreakoutServiceV001,1419560641,1419560641,0,1,0,1,1,0,0,70,71,70,71,71,0,70,1,1,/taxbreakout
5/30/2018 1:19,TaxBreakoutServiceV001,4238564943,4238564943,0,1,0,1,1,0,0,202,202,202,202,202,0,202,1,1,/taxbreakout
5/30/2018 1:20,TaxBreakoutServiceV001,4238832687,4238832687,0,1,0,0,1,0,0,54,55,54,55,55,0,54,0,1,/taxbreakout
5/30/2018 1:23,TaxBreakoutServiceV001,4239418447,4239418447,0,1,0,1,1,1,1,49,49,49,49,49,0,49,1,1,/taxbreakout
5/30/2018 1:23,TaxBreakoutServiceV001,4239418463,4239418463,0,0,0,0,1,0,0,76,76,76,76,76,0,76,0,0,/taxbreakout
5/30/2018 1:25,TaxBreakoutServiceV001,4239791023,4239791023,1,1,1,1,1,1,1,53,53,53,53,53,0,53,1,1,/taxbreakout
5/30/2018 1:32,TaxBreakoutServiceV001,4241674591,4241674591,0,1,0,1,1,1,1,74,74,74,74,74,0,74,1,1,/taxbreakout
5/30/2018 1:32,TaxBreakoutServiceV001,4241674559,4241674559,0,1,0,1,1,1,1,119,119,119,119,119,0,119,1,1,/taxbreakout
5/30/2018 1:34,TaxBreakoutServiceV001,1422778049,1422778049,0,1,0,1,1,1,1,52,52,52,52,52,0,52,1,1,/taxbreakout
5/30/2018 1:38,TaxBreakoutServiceV001,1830221479,1830221479,0,1,0,0,1,0,0,60,60,60,60,61,0,60,0,1,/taxbreakout
5/30/2018 1:38,TaxBreakoutServiceV001,1830221447,1830221447,0,1,0,0,1,0,0,70,71,70,71,71,0,71,0,1,/taxbreakout
5/30/2018 1:38,TaxBreakoutServiceV001,1435058889,1435058889,0,1,0,1,1,0,0,123,124,124,124,124,0,124,1,1,/taxbreakout
5/30/2018 1:38,SummingServiceV001,4242985007,4242985007,0,1,0,1,1,1,1,3,3,3,3,3,0,3,1,1,/summingservice
5/30/2018 1:39,TaxBreakoutServiceV001,4243091455,4243091455,0,1,0,0,1,0,0,49,49,49,49,49,0,49,0,1,/taxbreakout
5/30/2018 1:39,TaxBreakoutServiceV001,4243091423,4243091423,0,0,0,0,0,0,0,51,51,51,51,51,0,51,0,0,/taxbreakout
5/30/2018 1:40,TaxBreakoutServiceV001,1424072065,1424072065,0,1,0,1,1,0,0,107,108,107,108,108,0,107,1,1,/taxbreakout
5/30/2018 1:41,TaxBreakoutServiceV001,2727013733,2727013733,0,2,0,1,2,0,0,47,47,47,47,47,0,47,1,2,/taxbreakout
5/30/2018 1:41,GetInformationalMessageV001,1737723469,1737723469,0,0,0,0,0,0,0,5,5,5,5,5,0,5,0,0,/getinformationmessage
5/30/2018 1:42,TaxBreakoutServiceV001,1435454409,1435454409,0,1,0,1,1,1,1,44,45,44,45,45,0,45,1,1,/taxbreakout
5/30/2018 1:44,TaxBreakoutServiceV001,1424704481,1424704481,0,1,0,0,1,0,0,63,63,63,63,63,0,63,0,1,/taxbreakout
5/30/2018 1:47,TaxBreakoutServiceV001,4245678111,4245678111,0,1,1,1,2,1,1,142,142,142,142,142,0,142,1,1,/taxbreakout
5/30/2018 1:49,TaxBreakoutServiceV001,1739282797,1739282797,0,1,0,0,1,0,0,42,43,43,43,43,0,43,0,1,/taxbreakout
5/30/2018 2:21,TaxBreakoutServiceV001,4253693999,4253693999,0,1,0,1,1,0,0,47,47,47,47,47,0,47,1,1,/taxbreakout
5/30/2018 2:29,TaxBreakoutServiceV001,1840453911,1840453911,0,1,0,1,1,0,0,43,43,43,43,43,0,43,1,1,/taxbreakout
5/30/2018 2:40,TaxBreakoutServiceV001,1436657921,1436657921,0,1,0,1,1,1,1,55,55,55,55,55,0,55,1,1,/taxbreakout
5/30/2018 3:47,TaxBreakoutServiceV001,37025019,37025019,0,0,0,0,0,0,0,47,47,47,47,47,0,47,0,0,/taxbreakout
